Id,Name,Price,Brand,Type,Image,Description ,  
11,Porcelaine Marker 1.2mm Scarlet Red,6.9,PEBEO,Marker,PEBEO Porcelaine Marker 1.2mm Scarlet Red.png,"Porcelaine 150 Markers can be applied to all heat-stable surfaces that are able to withstand a temperature of 300°F (150°C), such as porcelain, china, glazed earthenware, terracotta, metal, enamelled sheet steel, copper and glass.
The surface chosen, allows for numerous interesting effects to be produced and experiments to be made with the transparency and intensity of the colours.
Porcelaine 150 makes professional enamelling available to all. Colours can all be mixed together to create a deep and glossy, transparent or opaque finish, with a superb enamelled appearance, once baked.
Colours can be mixed together.",
12, Porcelaine Marker 1.2mm Peacock Blue,6.9,PEBEO,Marker,PEBEO Porcelaine Marker 0.7mm Lapis Blue.png,"Porcelaine 150 Markers can be applied to all heat-stable surfaces that are able to withstand a temperature of 300°F (150°C), such as porcelain, china, glazed earthenware, terracotta, metal, enamelled sheet steel, copper and glass.
The surface chosen, allows for numerous interesting effects to be produced and experiments to be made with the transparency and intensity of the colours.
Porcelaine 150 makes professional enamelling available to all. Colours can all be mixed together to create a deep and glossy, transparent or opaque finish, with a superb enamelled appearance, once baked.
Colours can be mixed together.",
13,Porcelaine Outliner 20ml Bronze,4.9,PEBEO,Marker,PEBEO Porcelaine Outliner 20ml Bronze.jfif,"Porcelaine 150 can be applied to all heat-stable surfaces that are able to withstand a temperature of 300°F (150°C), such as porcelain, china, glazed earthenware, terracotta, metal, enamelled sheet steel, copper and glass.

The surface chosen, allows for numerous interesting effects to be produced and experiments to be made with the transparency and intensity of the colours. Porcelaine 150 makes professional enamelling available to all, with a new generation of 46 colours, glazed by simply baking at 300°F ( 150°C) in a kitchen oven.

Whether using Porcelaine 150, in a bottle, a tube or marker, all colours can all be mixed together to create a deep and glossy, transparent or opaque finish, with a superb enamelled appearance, once baked.

Many applications are possible with Porcelaine 150 : with brushes and also with sponge, stencil.

Made in France.",
14,Porcelaine Outliner 20ml Tourmaline,4.9,PEBEO,Marker,PEBEO Porcelaine Outliner 20ml Tourmaline.png,"Porcelaine 150 can be applied to all heat-stable surfaces that are able to withstand a temperature of 300°F (150°C), such as porcelain, china, glazed earthenware, terracotta, metal, enamelled sheet steel, copper and glass.

The surface chosen, allows for numerous interesting effects to be produced and experiments to be made with the transparency and intensity of the colours. Porcelaine 150 makes professional enamelling available to all, with a new generation of 46 colours, glazed by simply baking at 300°F ( 150°C) in a kitchen oven.

Whether using Porcelaine 150, in a bottle, a tube or marker, all colours can all be mixed together to create a deep and glossy, transparent or opaque finish, with a superb enamelled appearance, once baked.

Many applications are possible with Porcelaine 150 : with brushes and also with sponge, stencil.

Made in France.",
15,Porcelaine Marker 1.2mm Earth Brown,6.9,PEBEO,Marker,PEBEO Porcelaine Marker 1.2mm Earth Brown.png,"Porcelaine 150 Markers can be applied to all heat-stable surfaces that are able to withstand a temperature of 300°F (150°C), such as porcelain, china, glazed earthenware, terracotta, metal, enamelled sheet steel, copper and glass.
The surface chosen, allows for numerous interesting effects to be produced and experiments to be made with the transparency and intensity of the colours.
Porcelaine 150 makes professional enamelling available to all. Colours can all be mixed together to create a deep and glossy, transparent or opaque finish, with a superb enamelled appearance, once baked.
Colours can be mixed together.",
16,Porcelaine Marker 1.2mm Marseille Yellow,6.9,PEBEO,Marker,PEBEO Porcelaine Marker 1.2mm Marseille Yellow.png,"Porcelaine 150 Markers can be applied to all heat-stable surfaces that are able to withstand a temperature of 300°F (150°C), such as porcelain, china, glazed earthenware, terracotta, metal, enamelled sheet steel, copper and glass.
The surface chosen, allows for numerous interesting effects to be produced and experiments to be made with the transparency and intensity of the colours.
Porcelaine 150 makes professional enamelling available to all. Colours can all be mixed together to create a deep and glossy, transparent or opaque finish, with a superb enamelled appearance, once baked.
Colours can be mixed together.",
17,Junior Triangular Pencil Sharpener Set x 12,6.6,FABER-CASTELL ,Pencil,FABER-CASTELL Junior Triangular Pencil Sharpener Set x 12.jpeg,"Tri Colour Pencils – consists of colour shades specially selected by Art teachers. Its triangular shape gives better control and comfort for children's little fingers. The smooth leads with less breakage and minimum lead flake provide better coverage and create brilliant effects on paper.

Specification
- Brand quality at a good price
Colour pencils with ergonomic triangular shape
- Brilliant colours
- Soft colour laydown
- Break-resistant lead due to secural bonding process (SV)
- Washes out of most fabrics
- Wood from certified sustainable forestry
- Cardboard wallet of 12",
18,Creative Coloring Pencil Set,20.9,FABER-CASTELL ,Pencil,FABER-CASTELL Creative Coloring Pencil Set.jpeg,"FABER-CASTELL Creative Coloring Pencil Set contains 10 color pencils, 10 connector markers, 1 bag to neatly contain the pencils and connector markers and 1 eraser.",
19,Junior Grip Graphite Pencil Set x 12,11.99,FABER-CASTELL ,Pencil,FABER-CASTELL Junior Grip Graphite Pencil Set x 12.jpeg,"FABER-CASTELL Junior Grip Graphite Pencil Set

- Ergonomic Grip
- Eco Pencil
- Pack of 12",
20,Soft Pen Case Unicorn,19.9,FABER-CASTELL ,Pencil,FABER-CASTELL Soft Pen Case Unicorn.jpeg,"FABER-CASTELL Soft Case Pencil Box with a embossed Unicorn Design.

Easy to maintain and durable, multifunctional pencil case.

Dimension: 16 x 22.5cm.
Thickness: 4cm",
21,Jumbo Grip Watercolor Pencil Set x 16,31,FABER-CASTELL ,Pencil,FABER-CASTELL Jumbo Grip Watercolor Pencil Set x 16.jpg,Coloured pencils with a thick triangular barrel are designed to fit perfectly in little hands. The patented Soft-Grip zone ensures fatigue-free and comfortable drawing. The water-soluble pigments give fantastic results: simply draw your picture then apply water to a paintbrush to create beautiful watercolour images.,
22,Classic Color Pencil Metal Box Set x 24,16,FABER-CASTELL ,Pencil,FABER-CASTELL Classic Color Pencil Metal Box Set x 24.jfif,"The classic wooden barrel pencils: the coloured pencils in a standard size and hexagonal shape. They feature vivid colours and a special bonding process to make them break resistant. The classic coloured pencils are available in up to 60 different colours.

Specification
- Hexagonal coloured pencils in a metal box
- Brilliant colours
- Break-resistant due to SV bonding
- Classic hexagonal shape
- 24 bright colours in metal box",
23,Classic Color Pencil Metal Box Set x 36,25.5,FABER-CASTELL ,Pencil,FABER-CASTELL Classic Color Pencil Metal Box Set x 36.jpeg,"The classic wooden barrel pencils: the coloured pencils in a standard size and hexagonal shape. They feature vivid colours and a special bonding process to make them break resistant. The classic coloured pencils are available in up to 60 different colours.

Specification
- Hexagonal coloured pencils in a metal box
- Brilliant colours
- Break-resistant due to SV bonding
- Classic hexagonal shape
- 36 bright colours in metal box",
24,Classic Color Pencil Sketch Set x 48,42,FABER-CASTELL ,Pencil,FABER-CASTELL Classic Color Pencil Sketch Set x 48.jpeg,"Permanent colour pencils in a standard size and hexagonal shape. They feature vivid colours and a special bonding process to make them break resistant. The classic coloured pencils are available in up to 48 different colours.

Specification
- Permanent colour pencils in a standard size and hexagonal shape
- They feature vivid colours and a special bonding process to make them break resistant
- 48 bright colours, 2 Grip graphite pencils, eraser and sharpener in metal box",
